Table,Column,Type,Size,Nulls,Auto,Default,Comments
admissions,admission_location,varchar,50,,NA,,Admission location.
admissions,admission_type,varchar,50,,NA,,"Type of admission, for example emergency or elective."
admissions,admittime,timestamp,22,,NA,,Time of admission to the hospital.
admissions,deathtime,timestamp,22,√,NA,null,Time of death.
admissions,diagnosis,varchar,255,√,NA,null,Diagnosis.
admissions,discharge_location,varchar,50,,NA,,Discharge location
admissions,dischtime,timestamp,22,,NA,,Time of discharge from the hospital.
admissions,edouttime,timestamp,22,√,NA,null,
admissions,edregtime,timestamp,22,√,NA,null,
admissions,ethnicity,varchar,200,,NA,,Ethnicity.
admissions,hadm_id,int4,10,,NA,,Primary key. Identifies the hospital stay.
admissions,has_chartevents_data,int2,5,,NA,,Hospital admission has at least one observation in the CHARTEVENTS table.
admissions,hospital_expire_flag,int2,5,√,NA,null,
admissions,insurance,varchar,255,,NA,,Insurance type.
admissions,language,varchar,10,√,NA,null,Language.
admissions,marital_status,varchar,50,√,NA,null,Marital status.
admissions,religion,varchar,50,√,NA,null,Religon.
admissions,row_id,int4,10,,NA,,Unique row identifier.
admissions,subject_id,int4,10,,NA,,Foreign key. Identifies the patient.
callout,acknowledge_status,varchar,20,,NA,,The status of the response to the call out request.
callout,acknowledgetime,timestamp,22,√,NA,null,Time at which the call out request was acknowledged.
callout,callout_outcome,varchar,20,,NA,,The result of the call out request; either a cancellation or a discharge.
callout,callout_service,varchar,10,,NA,,Identifies the service that the patient is called out to.
callout,callout_status,varchar,20,,NA,,Current status of the call out request.
callout,callout_wardid,int4,10,√,NA,null,Identifies the ward where the patient is to be discharged to. A value of 1 indicates the first available ward. A value of 0 indicates home.
callout,createtime,timestamp,22,,NA,,Time at which the call out request was created.
callout,curr_careunit,varchar,15,√,NA,null,"If the ward where the patient is currently residing is an ICU, the ICU type is listed here."
callout,curr_wardid,int4,10,√,NA,null,Identifies the ward where the patient is currently residing.
callout,currentreservationtime,timestamp,22,√,NA,null,Latest time at which a ward was reserved for the call out request.
callout,discharge_wardid,int4,10,√,NA,null,The ward to which the patient was discharged.
callout,firstreservationtime,timestamp,22,√,NA,null,First time at which a ward was reserved for the call out request.
callout,hadm_id,int4,10,,NA,,Foreign key. Identifies the hospital stay.
callout,outcometime,timestamp,22,,NA,,Time at which the outcome (cancelled or discharged) occurred.
callout,request_cdiff,int2,5,,NA,,Indicates if special precautions are required.
callout,request_mrsa,int2,5,,NA,,Indicates if special precautions are required.
callout,request_resp,int2,5,,NA,,Indicates if special precautions are required.
callout,request_tele,int2,5,,NA,,Indicates if special precautions are required.
callout,request_vre,int2,5,,NA,,Indicates if special precautions are required.
callout,row_id,int4,10,,NA,,Unique row identifier.
callout,subject_id,int4,10,,NA,,Foreign key. Identifies the patient.
callout,submit_careunit,varchar,15,√,NA,null,"If the ward where the call was submitted was an ICU, the ICU type is listed here."
callout,submit_wardid,int4,10,√,NA,null,Identifies the ward where the call out request was submitted.
callout,updatetime,timestamp,22,,NA,,Last time at which the call out request was updated.
caregivers,cgid,int4,10,,NA,,Unique caregiver identifier.
caregivers,description,varchar,30,√,NA,null,"More detailed description of the caregiver, if available."
caregivers,label,varchar,15,√,NA,null,"Title of the caregiver, for example MD or RN."
caregivers,row_id,int4,10,,NA,,Unique row identifier.
chartevents,cgid,int4,10,√,NA,null,Foreign key. Identifies the caregiver.
chartevents,charttime,timestamp,22,√,NA,null,Time when the event occured.
chartevents,error,int4,10,√,NA,null,Flag to highlight an error with the event.
chartevents,hadm_id,int4,10,√,NA,null,Foreign key. Identifies the hospital stay.
chartevents,icustay_id,int4,10,√,NA,null,Foreign key. Identifies the ICU stay.
chartevents,itemid,int4,10,√,NA,null,Foreign key. Identifies the charted item.
chartevents,resultstatus,varchar,50,√,NA,null,Result status of lab data.
chartevents,row_id,int4,10,,NA,,Unique row identifier.
chartevents,stopped,varchar,50,√,NA,null,"Text string indicating the stopped status of an event (i.e. stopped, not stopped)."
chartevents,storetime,timestamp,22,√,NA,null,Time when the event was recorded in the system.
chartevents,subject_id,int4,10,,NA,,Foreign key. Identifies the patient.
chartevents,value,varchar,255,√,NA,null,Value of the event as a text string.
chartevents,valuenum,float8,"17,17",√,NA,null,Value of the event as a number.
